what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1423793077046
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.100.v201104061711,"org.eclipse.jst.jsf.standard.tagsupport",1423793077059
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1423793077070
stopped,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1423793077090
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1423793077108
stopped,bundle,com.python.pydev.codecompletion,2.6.0.2012062818,"com.python.pydev.codecompletion",1423793077123
stopped,bundle,com.python.pydev.refactoring,2.6.0.2012062818,"com.python.pydev.refactoring",1423793077150
stopped,bundle,com.python.pydev.analysis,2.6.0.2012062818,"com.python.pydev.analysis",1423793077150
stopped,bundle,com.python.pydev.debug,2.6.0.2012062818,"com.python.pydev.debug",1423793077168
stopped,bundle,com.python.pydev.fastparser,2.6.0.2012062818,"com.python.pydev.fastparser",1423793077183
stopped,bundle,org.python.pydev.red_core,2.6.0.2012062818,"org.python.pydev.red_core",1423793077203
stopped,bundle,com.python.pydev,2.6.0.2012062818,"com.python.pydev",1423793077209
stopped,bundle,org.python.pydev.django,2.6.0.2012062818,"org.python.pydev.django",1423793077225
stopped,bundle,org.python.pydev.customizations,2.6.0.2012062818,"org.python.pydev.customizations",1423793077244
stopped,bundle,org.python.pydev.debug,2.6.0.2012062818,"org.python.pydev.debug",1423793077244
stopped,bundle,org.python.pydev.refactoring,2.6.0.2012062818,"org.python.pydev.refactoring",1423793077270
stopped,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1423793090534
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1423793090547
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1423793090562
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1423793090588
